product_id,product_name,product_category,product_price,price_bucket,is_expensive,price_not_null
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,Premium,True,True
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,Medium,False,True
3,Mens Cotton Jacket,men's clothing,55.99,High,True,True
4,Mens Casual Slim Fit,men's clothing,15.99,Low,False,True
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,,True,True
6,Solid Gold Petite Micropave ,jewelery,168.0,Premium,True,True
7,White Gold Plated Princess,jewelery,9.99,Low,False,True
8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,10.99,Low,False,True
9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,64.0,High,True,True
10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,electronics,109.0,Premium,True,True
11,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,electronics,109.0,Premium,True,True
12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,114.0,Premium,True,True
13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,599.0,,True,True
14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,999.99,,True,True
15,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,women's clothing,56.99,High,True,True
16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,29.95,Medium,False,True
17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,39.99,Medium,False,True
18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,9.85,Low,False,True
19,Opna Women's Short Sleeve Moisture,women's clothing,7.95,Low,False,True
20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,12.99,Low,False,True
